created_at,favorite_count,full_text,case_folding,cleaning,normalisasi,sentiment
2026-05-04T14:49:15.000Z,0,"proses berjalan sesuai standar operasional prosedur. Selain itu, peninjauan juga dilakukan terhadap fasilitas pendukung seperti klinik kesehatan dan dapur, sebagai bagian dari pemenuhan kebutuhan dasar warga binaan.

Usai kegiatan monev, Kakanwil melanjutkan agenda dengan","proses berjalan sesuai standar operasional prosedur. selain itu, peninjauan juga dilakukan terhadap fasilitas pendukung seperti klinik kesehatan dan dapur, sebagai bagian dari pemenuhan kebutuhan dasar warga binaan.

usai kegiatan monev, kakanwil melanjutkan agenda dengan",proses berjalan sesuai standar operasional prosedur selain itu peninjauan juga dilakukan terhadap fasilitas pendukung seperti klinik kesehatan dan dapur sebagai bagian dari pemenuhan kebutuhan dasar warga binaan usai kegiatan monev kakanwil melanjutkan agenda dengan,proses berjalan sesuai standar operasional prosedur selain itu peninjauan juga dilakukan terhadap fasilitas pendukung seperti klinik kesehatan dan dapur sebagai bagian dari pemenuhan kebutuhan dasar warga binaan usai kegiatan monev kakanwil melanjutkan agenda dengan,Positif
2026-05-04T14:41:38.000Z,0,"Depresi berat..
Bila ada yang membantu disana segera ditangani dengan membawa ke rumah sakit depresi Muhammadiyah.
(Agar ada obat menenangkan TRAUMA psikis yang dialaminya)

#KapalShalawat","depresi berat..
bila ada yang membantu disana segera ditangani dengan membawa ke rumah sakit depresi muhammadiyah.
(agar ada obat menenangkan trauma psikis yang dialaminya)

#kapalshalawat",depresi berat bila ada yang membantu disana segera ditangani dengan membawa ke rumah sakit depresi muhammadiyah agar ada obat menenangkan trauma psikis yang dialaminya,depresi berat bila ada yang membantu disana segera ditangani dengan membawa ke rumah sakit depresi muhammadiyah agar ada obat menenangkan trauma psikis yang dialaminya,Negatif
2026-05-04T14:40:26.000Z,0,"... beberapa minggu, biasanya suka sakit gini ...” 

Begitu katanya pada Malik sewaktu diseret ke rumah sakit.

Meski sudah berstatus menikah, Michelle yang lugu mengesampingkan kemungkinan dirinya hamil. 

Konyol.

Dan di sinilah ia sekarang. Di atas kursi roda yang ...","... beberapa minggu, biasanya suka sakit gini ...” 

begitu katanya pada malik sewaktu diseret ke rumah sakit.

meski sudah berstatus menikah, michelle yang lugu mengesampingkan kemungkinan dirinya hamil. 

konyol.

dan di sinilah ia sekarang. di atas kursi roda yang ...",beberapa minggu biasanya suka sakit gini begitu katanya pada malik sewaktu diseret ke rumah sakit meski sudah berstatus menikah michelle yang lugu mengesampingkan kemungkinan dirinya hamil konyol dan di sinilah ia sekarang di atas kursi roda yang,beberapa minggu biasanya suka sakit begini begitu katanya pada malik sewaktu diseret ke rumah sakit meski sudah berstatus menikah michelle yang lugu mengesampingkan kemungkinan dirinya hamil konyol dan di sinilah ia sekarang di atas kursi roda yang,Netral
2026-05-04T14:39:45.000Z,64,"Dulu setelah cedera itu, Iris nggak segera dibawa ke rumah sakit. Cuma dibawa ke klinik kecil dan keluarga om Ferry sibuk 'diskusi' sama si pelaku. Waktu akhirnya dibawa ke rumah sakit, she had missed the golden time. Harusnya dulu pendengarannya bisa diselamatkan kalau aja","dulu setelah cedera itu, iris nggak segera dibawa ke rumah sakit. cuma dibawa ke klinik kecil dan keluarga om ferry sibuk 'diskusi' sama si pelaku. waktu akhirnya dibawa ke rumah sakit, she had missed the golden time. harusnya dulu pendengarannya bisa diselamatkan kalau aja",dulu setelah cedera itu iris nggak segera dibawa ke rumah sakit cuma dibawa ke klinik kecil dan keluarga om ferry sibuk diskusi sama si pelaku waktu akhirnya dibawa ke rumah sakit she had missed the golden time harusnya dulu pendengarannya bisa diselamatkan kalau aja,dulu setelah cedera itu iris tidak segera dibawa ke rumah sakit cuma dibawa ke klinik kecil dan keluarga om ferry sibuk diskusi sama sih pelaku waktu akhirnya dibawa ke rumah sakit she had missed the golden time harusnya dulu pendengarannya bisa diselamatkan kalau saja,Negatif
2026-05-04T14:36:08.000Z,0,Ketemu htsan pas SMA di rumah sakit anak. Sama sama bawa anak 😭😭👻,ketemu htsan pas sma di rumah sakit anak. sama sama bawa anak 😭😭👻,ketemu htsan pas sma di rumah sakit anak sama sama bawa anak,ketemu htsan pas sama di rumah sakit anak sama sama bawa anak,Negatif
2026-05-04T14:33:24.000Z,0,"@txtdarijasputih @KemenkesRI memang. bukan cuma internship. bahkan residen dan koass yang notabene bayar untuk belajar pun digunakan sebagai pengganti SDM, dimana rumah sakit akan stop berfungsi (atau beban kerja berganda ke sejawat) jika ada kasus sakit. Banyak RS cut down jumlah perawat krn ‘subsidi’ SDM","@txtdarijasputih @kemenkesri memang. bukan cuma internship. bahkan residen dan koass yang notabene bayar untuk belajar pun digunakan sebagai pengganti sdm, dimana rumah sakit akan stop berfungsi (atau beban kerja berganda ke sejawat) jika ada kasus sakit. banyak rs cut down jumlah perawat krn ‘subsidi’ sdm",memang bukan cuma internship bahkan residen dan koass yang notabene bayar untuk belajar pun digunakan sebagai pengganti sdm dimana rumah sakit akan stop berfungsi atau beban kerja berganda ke sejawat jika ada kasus sakit banyak rs cut down jumlah perawat krn subsidi sdm,memang bukan cuma internship bahkan residen dan koass yang notabene bayar untuk belajar pun digunakan sebagai pengganti sdm dimana rumah sakit akan stop berfungsi atau beban kerja berganda ke sejawat jika ada kasus sakit banyak rs cut down jumlah perawat karena subsidi sdm,Negatif
2026-05-04T12:20:38.000Z,0,"@yourholmesss aku kayaknya ga ngalamin itu, ade aku yg kena wkwkwk. karena ade aku kembar jadi auka dijailin gini pas kecil ""kalian berdua tuh sebenernya bukan anak ayah sama ibu tauuuu, kalian ketuker sama bayi lain di rumah sakit""","@yourholmesss aku kayaknya ga ngalamin itu, ade aku yg kena wkwkwk. karena ade aku kembar jadi auka dijailin gini pas kecil ""kalian berdua tuh sebenernya bukan anak ayah sama ibu tauuuu, kalian ketuker sama bayi lain di rumah sakit""",aku kayaknya ga ngalamin itu ade aku yg kena wkwkwk karena ade aku kembar jadi auka dijailin gini pas kecil kalian berdua tuh sebenernya bukan anak ayah sama ibu tauuuu kalian ketuker sama bayi lain di rumah sakit,aku kayaknya tidak ngalamin itu adek aku yang kena wkwkwk karena adek aku kembar jadi auka dijailin begini pas kecil kalian berdua tuh sebenarnya bukan anak ayah sama ibu tau kalian tertukar sama bayi lain di rumah sakit,Negatif
2026-05-04T12:17:48.000Z,0,@eombites Ingpokan rumah sakit korban james undercut☝️😌,@eombites ingpokan rumah sakit korban james undercut☝️😌,ingpokan rumah sakit korban james undercut,ingpokan rumah sakit korban james undercut,Negatif
2026-05-04T12:14:35.000Z,0,"coba kalo gua ga baca au homo itu, pasti gua udah masuk rumah sakit jiwa","coba kalo gua ga baca au homo itu, pasti gua udah masuk rumah sakit jiwa",coba kalo gua ga baca au homo itu pasti gua udah masuk rumah sakit jiwa,coba kalau gua tidak baca au homo itu pasti gua sudah masuk rumah sakit jiwa,Negatif
2026-05-04T12:13:11.000Z,4,"PT KAI menyatakan 84 korban insiden tabrakan kereta di Bekasi Timur telah kembali ke rumah, sementara 17 lainnya masih menjalani perawatan intensif di rumah sakit.

🔽🔽🔽
Baca selengkapnya: https://t.co/cSW8dOPQdJ

#krl #bekasitimur #korban 

Grafis: Ulfa Jainita https://t.co/zYnTqtICOJ","pt kai menyatakan 84 korban insiden tabrakan kereta di bekasi timur telah kembali ke rumah, sementara 17 lainnya masih menjalani perawatan intensif di rumah sakit.

🔽🔽🔽
baca selengkapnya: https://t.co/csw8dopqdj

#krl #bekasitimur #korban 

grafis: ulfa jainita https://t.co/zyntqticoj",pt kai menyatakan 84 korban insiden tabrakan kereta di bekasi timur telah kembali ke rumah sementara 17 lainnya masih menjalani perawatan intensif di rumah sakit baca selengkapnya grafis ulfa jainita,pt kai menyatakan 84 korban insiden tabrakan kereta di bekasi timur telah kembali ke rumah sementara 17 lainnya masih menjalani perawatan intensif di rumah sakit baca selengkapnya grafis ulfa jainita,Negatif
2026-05-04T12:13:07.000Z,4,"Tolong dong @prasprasetja jelasin, kaitannya pelemahan rupiah/naiknya dollar di ranah Psikologi, layanan kesehatan mental dampaknya gimana. Tentang alat tes dan lainnya. Gue lelah menjelaskan wkwk.","tolong dong @prasprasetja jelasin, kaitannya pelemahan rupiah/naiknya dollar di ranah psikologi, layanan kesehatan mental dampaknya gimana. tentang alat tes dan lainnya. gue lelah menjelaskan wkwk.",tolong dong jelasin kaitannya pelemahan rupiah naiknya dollar di ranah psikologi layanan kesehatan mental dampaknya gimana tentang alat tes dan lainnya gue lelah menjelaskan wkwk,tolong dong jelasin kaitannya pelemahan rupiah naiknya dollar di ranah psikologi layanan kesehatan mental dampaknya bagaimana tentang alat tes dan lainnya gue lelah menjelaskan wkwk,Negatif
2026-05-04T12:08:08.000Z,0,"@ollalelo Rumah sakit 1 : aku butuh tindakan operasi 
Rumah sakit 2 : aku di infus obat dan disuruh minum obat dari psikiater aku doang.","@ollalelo rumah sakit 1 : aku butuh tindakan operasi 
rumah sakit 2 : aku di infus obat dan disuruh minum obat dari psikiater aku doang.",rumah sakit 1 aku butuh tindakan operasi rumah sakit 2 aku di infus obat dan disuruh minum obat dari psikiater aku doang,rumah sakit 1 aku butuh tindakan operasi rumah sakit 2 aku di infus obat dan disuruh minum obat dari psikiater aku doang,Negatif
2026-05-04T12:04:42.000Z,13,"Unit Laka Lantas Jakarta Timur bergerak cepat dan responsif dalam penanganan kejadian kecelakaan. Petugas segera mendatangi rumah korban untuk memastikan kondisi, kemudian membawa korban ke rumah sakit guna mendapatkan penanganan medis. Selanjutnya dilakukan olah TKP serta https://t.co/i6conycUw3","unit laka lantas jakarta timur bergerak cepat dan responsif dalam penanganan kejadian kecelakaan. petugas segera mendatangi rumah korban untuk memastikan kondisi, kemudian membawa korban ke rumah sakit guna mendapatkan penanganan medis. selanjutnya dilakukan olah tkp serta https://t.co/i6conycuw3",unit laka lantas jakarta timur bergerak cepat dan responsif dalam penanganan kejadian kecelakaan petugas segera mendatangi rumah korban untuk memastikan kondisi kemudian membawa korban ke rumah sakit guna mendapatkan penanganan medis selanjutnya dilakukan olah tkp serta,unit laka lantas jakarta timur bergerak cepat dan responsif dalam penanganan kejadian kecelakaan petugas segera mendatangi rumah korban untuk memastikan kondisi kemudian membawa korban ke rumah sakit guna mendapatkan penanganan medis selanjutnya dilakukan olah tkp serta,Netral
2026-05-04T12:03:49.000Z,0,"@Aaa_aelah bayangkan jika ada orang yang kontrol emosinya buruk, sekali ditolak langsung emosi, marah marah dan berbuat onar di layanan kesehatan tersebut hanya karena berobat di faskes yang bukan domisilinya.

sebenarnya berita tersebut yang saya tunggu.","@aaa_aelah bayangkan jika ada orang yang kontrol emosinya buruk, sekali ditolak langsung emosi, marah marah dan berbuat onar di layanan kesehatan tersebut hanya karena berobat di faskes yang bukan domisilinya.

sebenarnya berita tersebut yang saya tunggu.",bayangkan jika ada orang yang kontrol emosinya buruk sekali ditolak langsung emosi marah marah dan berbuat onar di layanan kesehatan tersebut hanya karena berobat di faskes yang bukan domisilinya sebenarnya berita tersebut yang saya tunggu,bayangkan jika ada orang yang kontrol emosinya buruk sekali ditolak langsung emosi marah marah dan berbuat onar di layanan kesehatan tersebut hanya karena berobat di faskes yang bukan domisilinya sebenarnya berita tersebut yang saya tunggu,Negatif
2026-05-04T11:59:53.000Z,0,"@ledekrepp Tetap tenang, posisikan badan miring atau duduk dan segera dibawah ke rumah sakit terdekat, jangan beri makan dan minum dan pantau kesadaran dari orang yang mengalami muntah darah. Semoga bermanfaat dan semoga cepat sembuh yg sakit","@ledekrepp tetap tenang, posisikan badan miring atau duduk dan segera dibawah ke rumah sakit terdekat, jangan beri makan dan minum dan pantau kesadaran dari orang yang mengalami muntah darah. semoga bermanfaat dan semoga cepat sembuh yg sakit",tetap tenang posisikan badan miring atau duduk dan segera dibawah ke rumah sakit terdekat jangan beri makan dan minum dan pantau kesadaran dari orang yang mengalami muntah darah semoga bermanfaat dan semoga cepat sembuh yg sakit,tetap tenang posisikan badan miring atau duduk dan segera dibawah ke rumah sakit terdekat jangan beri makan dan minum dan pantau kesadaran dari orang yang mengalami muntah darah semoga bermanfaat dan semoga cepat sembuh yang sakit,Positif
2026-05-04T11:58:55.000Z,3,"Kemarin sabtu, hingga hari ini dan besok juga bolak balik rumah sakit karena habis cek lab darah lengkap dan MCU 

Puji tuhan Allah kasih semuanya normal dan besok juga bakalan rontgen dkk karena kepentingan administrasi semoga hasilnya akan selalu baik. 🥹✨ https://t.co/G5hZswILCD","kemarin sabtu, hingga hari ini dan besok juga bolak balik rumah sakit karena habis cek lab darah lengkap dan mcu 

puji tuhan allah kasih semuanya normal dan besok juga bakalan rontgen dkk karena kepentingan administrasi semoga hasilnya akan selalu baik. 🥹✨ https://t.co/g5hzswilcd",kemarin sabtu hingga hari ini dan besok juga bolak balik rumah sakit karena habis cek lab darah lengkap dan mcu puji tuhan allah kasih semuanya normal dan besok juga bakalan rontgen dkk karena kepentingan administrasi semoga hasilnya akan selalu baik,kemarin sabtu hingga hari ini dan besok juga bolak balik rumah sakit karena habis cek lab darah lengkap dan mcu puji tuhan allah kasih semuanya normal dan besok juga bakalan rontgen dkk karena kepentingan administrasi semoga hasilnya akan selalu baik,Positif
2026-05-04T11:56:30.000Z,0,"Klinik Kesehatan Haji Indonesia (KKHI) memberikan pendampingan khusus bagi jemaah haji Indonesia yang memiliki kondisi kesehatan berisiko tinggi. Salah satu layanan yang diberikan adalah fasilitasi pelaksanaan niat ihram Isytirath di Miqat.

Langkah ini dilakukan sebagai solusi https://t.co/CnSWVtq8rB","klinik kesehatan haji indonesia (kkhi) memberikan pendampingan khusus bagi jemaah haji indonesia yang memiliki kondisi kesehatan berisiko tinggi. salah satu layanan yang diberikan adalah fasilitasi pelaksanaan niat ihram isytirath di miqat.

langkah ini dilakukan sebagai solusi https://t.co/cnswvtq8rb",klinik kesehatan haji indonesia kkhi memberikan pendampingan khusus bagi jemaah haji indonesia yang memiliki kondisi kesehatan berisiko tinggi salah satu layanan yang diberikan adalah fasilitasi pelaksanaan niat ihram isytirath di miqat langkah ini dilakukan sebagai solusi,klinik kesehatan haji indonesia kkhi memberikan pendampingan khusus bagi jemaah haji indonesia yang memiliki kondisi kesehatan berisiko tinggi salah satu layanan yang diberikan adalah fasilitasi pelaksanaan niat ihram isytirath di miqat langkah ini dilakukan sebagai solusi,Positif
2026-05-04T11:54:51.000Z,0,"@soon_svm_id_ @AvicenaHQ @_dedesssss @zaldy_pahlevy Apakah Avicena sudah memiliki atau merencanakan kerjasama dengan rumah sakit, apotek, BPJS, atau Kemenkes? Bagaimana posisi Avicena menghadapi regulasi UU PDP dan sistem kesehatan nasional yang sudah ada?","@soon_svm_id_ @avicenahq @_dedesssss @zaldy_pahlevy apakah avicena sudah memiliki atau merencanakan kerjasama dengan rumah sakit, apotek, bpjs, atau kemenkes? bagaimana posisi avicena menghadapi regulasi uu pdp dan sistem kesehatan nasional yang sudah ada?",apakah avicena sudah memiliki atau merencanakan kerjasama dengan rumah sakit apotek bpjs atau kemenkes bagaimana posisi avicena menghadapi regulasi uu pdp dan sistem kesehatan nasional yang sudah ada,apakah avicena sudah memiliki atau merencanakan kerjasama dengan rumah sakit apotek bpjs atau kemenkes bagaimana posisi avicena menghadapi regulasi uu pdp dan sistem kesehatan nasional yang sudah ada,Negatif
2026-05-04T11:54:47.000Z,0,"Dikabarkan masuk rumah sakit, Purbaya: tapi keluar lagi

Selengkapnya &gt;&gt;&gt; https://t.co/Y4XLHaVoYW 

https://t.co/Y4XLHaVoYW","dikabarkan masuk rumah sakit, purbaya: tapi keluar lagi

selengkapnya &gt;&gt;&gt; https://t.co/y4xlhavoyw 

https://t.co/y4xlhavoyw",dikabarkan masuk rumah sakit purbaya tapi keluar lagi selengkapnya gt gt gt,dikabarkan masuk rumah sakit purbaya tapi keluar lagi selengkapnya begitu begitu begitu,Negatif
2026-05-04T11:52:28.000Z,0,Kapal rumah sakit jadi tempat pembunuhan rekan sendiri? TNI ini pada kenapa yaa? 😂,kapal rumah sakit jadi tempat pembunuhan rekan sendiri? tni ini pada kenapa yaa? 😂,kapal rumah sakit jadi tempat pembunuhan rekan sendiri tni ini pada kenapa yaa,kapal rumah sakit jadi tempat pembunuhan rekan sendiri tni ini pada kenapa ya,Negatif
2026-05-04T11:52:00.000Z,21,"MER-C Bersama Sejumlah Lembaga Kemanusiaan Bahas Penanganan Pengungsi Rohingya di Aceh

Aceh – Nasib pengungsi Rohingya yang tersebar di sejumlah titik pengungsian di Aceh hingga kini masih belum menentu dan cukup memprihatinkan.

Untuk itu, MER-C bersama sejumlah lembaga dan https://t.co/Db4H1Pcrby","mer-c bersama sejumlah lembaga kemanusiaan bahas penanganan pengungsi rohingya di aceh

aceh – nasib pengungsi rohingya yang tersebar di sejumlah titik pengungsian di aceh hingga kini masih belum menentu dan cukup memprihatinkan.

untuk itu, mer-c bersama sejumlah lembaga dan https://t.co/db4h1pcrby",mer c bersama sejumlah lembaga kemanusiaan bahas penanganan pengungsi rohingya di aceh aceh nasib pengungsi rohingya yang tersebar di sejumlah titik pengungsian di aceh hingga kini masih belum menentu dan cukup memprihatinkan untuk itu mer c bersama sejumlah lembaga dan,mer sih bersama sejumlah lembaga kemanusiaan bahas penanganan pengungsi rohingya di aceh aceh nasib pengungsi rohingya yang tersebar di sejumlah titik pengungsian di aceh hingga kini masih belum menentu dan cukup memprihatinkan untuk itu mer sih bersama sejumlah lembaga dan,Netral
2026-05-04T11:50:00.000Z,0,"10. Hak Pasien atas Pelayanan Kesehatan di Rumah Sakit
https://t.co/1jRjYtDXLS #KlinikSepekan","10. hak pasien atas pelayanan kesehatan di rumah sakit
https://t.co/1jrjytdxls #kliniksepekan",10 hak pasien atas pelayanan kesehatan di rumah sakit,10 hak pasien atas pelayanan kesehatan di rumah sakit,Positif
